"Status","Timestamp","Event Name","Column 4","Event Date(s)","Venue Name","Address","Event Start Time","Event End Time","Complicated dates/times?","Target Audience","Short Event Description","Long event description","The hook!","Price","Registration","Event link","Primary type of event","Additional type of event","Address Link","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-12 00:43:35","Stoppage Time: A Despelote Live Play With Creator Julián Cordero","2026-06-12","Friday June 12","U of T Bahen Centre","40 St. George St., 1160 Adel Sedra Auditorium","18:30:00","20:30:00","","Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","IGF winner and Game Awards nom Despelote explores 2001 Ecuador, as the community is captivated by high stakes soccer. An autobiographical game, you play as eight year old Julián Cordero, witnessing a world locked in anticipation. FUNLAND Zine proudly welcomes Cordero to an intimate, in-person live play of the game, where he will give insights into its creation.","","It’s a playthrough of Despelote (a soccer autobiographical game about Ecuador's first qualification for the Fifa World Cup) where the developer talks through how they made it and share behind-the-scenes insights while you watch.","Free, just show up!","","","Talk","","40 St George St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Get Social @ FreePlay","2026-06-12","Friday June 12","FreePlay Toronto Retro Arcade Bar","300 College St.","20:30:00","23:00:00","","Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","End the night playing games and sipping bevvies with fellow TGW attendees at this local arcade bar! Trade stories and maybe go head to head with new pals. All are welcome! Entry fee includes unlimited games and pinball machines. ","","","$10","Cover at the door.","","Social","","300 College St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-20 22:57:44","Toronto Escape Room Meetup and Many Happy Returns Kick-off Party","2026-06-12","Friday June 12","Casa Loma","1 Austin Terrace","20:45:00","23:59:00","Escape rooms will be 1 hour each and start around 8; we will then go to the afterparty location at a pub in the Annex (TBD) and be there until the crowd dissipates or the venue closes for the night.","Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Every month, the Toronto Escape Room Meetup hits up an escape room followed by a hangout at a nearby pub. This month, join us as we do a one-hour escape room and then go to a pub to celebrate the kickoff of our organizer’s immersive show (Many Happy Returns) coming to Toronto Fringe 2026! Join the Meetup group to register, pre-pay, and for pub timing.","","A super-fun way to spend an evening and make new friends while challenging yourself with Toronto's greatest escape room puzzles, followed by an informal hangout to debrief and make tighter social connections.  Also, a pre-party for a super-cool immersive puzzle show, Many Happy Returns, coming to Fringe, 2026!","$60","Registration required.","https://www.meetup.com/toronto-escape-rooms/","Game","Social","1 Austin Terrace","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-27 12:48:18","Open World Map: Digital Sovereignty for Game Creators","2026-06-13","Saturday June 13","Lillian H. Smith Public Library","239 College St.","10:00:00","16:00:00","","Academics, Community, Game Creators","Enshittified platforms and proprietary tools are not only making the world worse, but they make it harder for game creators to connect with an audience. But as tech-savvy systems thinkers, game creators are uniquely positioned to push back in a number of ways. Join us for an inspiring day of discussion, demos, and workshops featuring: open source game dev tool alternatives from Matt Hammill (Lovers in a Dangerous Spacetime), Mastodon tips and tricks from Rob Gehl (Move Slowly and Build Bridges from Oxford Press), playing with open protocols with Christine Lemmer-Webber and David Thompson (ActivityPub and Spritely Foundation), and liberating D&D data with Cousin Vagabond!","","","Free!","Registration required.","https://luma.com/8nvmyatm","Workshop","Talk","239 College St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 11:31:36","Gym Game Gauntlet","2026-06-13","Saturday June 13","Riverdale Park East","550 Broadview Ave.","10:00:00","12:00:00","","All!","Think Mario Party, but with classic gym class games from childhood! Outdoor favourites like Fishes and Minnows, Duck Duck Goose, Freeze Tag, and more! All this and a six-foot high soccer ball in play, too!","","Come play some of your favourite gym class games from childhood outdoors! Think things like Fishes and Minnows, Duck Duck Goose, Freeze Tag, and more!","Free, just show up!","","","Game","","550 Broadview Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 15:27:29","The Beautiful Game: A Playable History of Soccer Video Games","2026-06-13","Saturday June 13","Royal Ontario Museum","100 Queen's Park","11:00:00","16:00:00","Thursday, June 11: 11am-4pm
Friday, June 12: 11am-4pm
Saturday, June 13: 11am-4pm
Sunday, June 14: 11am-4pm
MONDAY – ROM CLOSED
Tuesday, June 16: 11am-8pm (free general admission starting at 4pm)
Wednesday, June 17: 11am-4pm

","Community","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen, from early home console experiments to influential titles that helped define modern sports gaming. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.

Beginning with early interpretations on platforms such as the Atari 2600, where soccer was represented through simple graphics and fast reflexes, the exhibition follows the sport’s digital evolution through home consoles like the Nintendo Entertainment System and into the rise of landmark franchises such as FIFA International Soccer. Displayed side by side, these games reveal how advances in technology reshaped ideas of realism, competition, and spectacle across generations.

This exhibit is a collaboration between the Royal Ontario Museum, the University of Toronto Mississauga Library with its extensive Syd Bolton Collection of video games, and the Broken Games Collective, a community of practice that champions restoring access to games that are broken, obsolete, or inaccessible. Together, they bring historical hardware, software, and curatorial expertise into a shared space that recognizes retro video games as cultural artifacts, preserving how generations of players have engaged with soccer beyond the stadium and onto the screen.
","Global soccer comes to Toronto. Play the video games that brought the beautiful game home. ","Included with ROM ticket entry.","Tickets required.","https://tickets.rom.on.ca/en/shop","Showcase","","100 Queen's Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Hand Eye Society x Luminato at Harbourfront","2026-06-13","Saturday June 13","Harbourfront","235 Queens Quay W.","11:00:00","21:30:00","","","Hand Eye Society brings Torontron arcade cabinets to Luminato at Harbourfront, featuring indie games by local developers and game artists. Blending arcade play with local game art, the installation offers festival-goers a fun and accessible way to experience video games as art. ","","A fun, public celebration of local indie games where you can interact with Hand Eye Society's custom arcade cabinets, meet devs and artists, and take part in an immersive workshop and exhibition.","Free, just show up!","","","Showcase","","235 Queens Quay West","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 15:25:53","nonsensitive workshop","2026-06-13","Saturday June 13","U of T Bahen Centre","40 St. George St.","12:00:00","14:00:00","","Academics, Community, Game Enthusiasts, Game Curious, artists, journalers ","In this cognitive imagination workshop, literally and figuratively map your internal world, crafting abstracted artifacts generated through a poetic reimagining of psychological profiling and journaling keepsake games. Materials provided, though you may bring your own journal or sketchbook. Part of the <a href=""https://dmgregory.ca/tgw/"">“Play Outside the Box”</a> event series.","itch.io page: https://gblekkenhorst.itch.io/nonsensitive 
Few people spend much time thinking about HOW they think - our thoughts and memories can form in the language of our culture, the language of our senses, sometimes in a language that can only exist within us. How clear and detailed our thoughts are, and which imaginative medium we reach for while we're trying to form them, are highly individual and often invisible to us.

Do you have an interior monologue? Can you form a picture in your mind? Maybe a smell reminds you of something - but can you remember a smell, or just the description of it? These languages might have a hard ceiling due to biological variance, but they are also a skill you can hone when you know what to reach for, like an artist learning how to see before putting pencil to page, or returning to the body during meditation.

Workshop participants craft artifacts that detail their cognitive imaginations that are deliberately enigmatic - sense becoming nonsense - inviting memory to devour the context of the experience, leaving physical evidence of the players tactile experience of inscribing it. Attendees are encouraged to bring their artifacts home to revisit the physical memory and see what they can piece back together, and to submit digitizations of their artifacts back to the project for future iterations.

The experience is part typographic poetry, part journaling keepsake game, and likely to generate discussions about what we learn about ourselves. The mapping itself gives insight into how we think, just by being asked a question about something we assumed was a given - but it's hearing how it's different for someone else that really illuminates how we work, and how we can empathize with different minds. (Remember this the next time someone doesn't notice your haircut.)

Materials will be provided, however attendees can bring their own journals or sketchbooks.
Part of the “Play Outside the Box” event series.","a collective journaling workshop about mapping cognitive imagination and memory","Free!","Registration required.","https://www.eventbrite.ca/e/nonsensitive-workshop-tickets-1987182082101","Workshop","","40 St George St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-09 17:22:03","Pokémon Proxy Party","2026-06-13","Saturday June 13","Mad Merchant Cards and Games","Splendid China Mall - 4675 Steeles Ave. E Unit 1D20, 1D22, & 1D25","12:00:00","18:00:00","We will be having multiple six different 2 hour sessions:

Sat June 13th @ 12pm - 2pm
Sat June 13 @ 2pm - 4pm 
Sat June 13 @ 4pm - 6pm 
Sun June 14 @ 12pm - 2pm 
Sun June 14 @ 2pm - 4pm
Sun June 14 @ 2pm - 6pm
","Community, Industry, Game Enthusiasts, NextGen Creators","A laid-back art anthology for Pokémon fans and creators. In just two hours, you’ll contribute to a massive, community-built collection of the original 151 custom proxy designs. No pressure to be perfect. The $20 fee includes a drink, art supplies, and a custom card.","","Could be a cute date idea or a hang-out with friends","$20","Registration required.","https://www.eventbrite.com/e/pokemon-proxy-party-tickets-1989100554303?aff=oddtdtcreator","Workshop","","4675 Steeles Ave E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 17:18:09","CTRL-ALT-DELICIOUS","2026-06-13","Saturday June 13","U of T Bahen Centre","40 St. George St.","13:00:00","18:00:00","","Community, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","A playful exhibition of alternative control games: ones that do something unconventional at the interface between players, audience, and game system (think custom controllers or games you play with your body). Stop by and play some games you won't find online! Part of the <a href=""https://dmgregory.ca/tgw/"">“Play Outside the Box”</a> event series.","This will be an exhibition of about a half-dozen games using custom controllers in various forms. These are largely but not exclusively student games. Visitors are free to drop in and out anytime during the exhibit duration - there's no fixed schedule of activities they need to start promptly at 2:00 or stay for the full duration.

In a nearby room, two allied workshop events will be running while the exhibit is in progress - one by Gillian Blekkenhorst and one by May Yu of the Hand Eye Society. We're using the name ""Play Outside the Box"" to link these events. A third workshop by Constantine Pallas may be added.

The workshops are ticketed due to limited capacity, while the exhibit is free and open to the public.

Although I teach at Sheridan College, this event is not officially a Sheridan-sponsored event, and is open to non-students or students from other schools. (I've left the affiliation blank for this reason)","A free showcase of games with unconventional interfaces — come play outside the box!","Free!","More info here.","https://dmgregory.ca/tgw/","Showcase","","40 St George St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-13 14:39:59","Kick-Off & Play: Soccer Board Game Fest","2026-06-13","Saturday June 13","Twilight Cafe & Bar (North York)","16 Park Home Ave.","13:00:00","17:00:00","NA","Community, Game Enthusiasts, Game Curious, Soccer and Board Game Enthusiasts","Join us for a free soccer-themed board game event! Enjoy games like Counter Attack, Superclub and UND1C1. Whether you're a hardcore strategist or just curious, there’s something for everyone. Just show up, learn new games, and connect with fellow soccer and board game fans in a fun, relaxed setting.","","Love soccer? Love board games? This is your perfect match.","Free!","Registration required.","https://www.meetup.com/board-games-social/events/314232234/","Game","","16 Park Home Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-11 23:40:11","Fight and Ye Shall Receive: How Game Worker Unions Win!","2026-06-13","Saturday June 13","TacoTaco","319 Augusta Ave.","13:00:00","16:00:00","","Academics, Community, Industry, Game Creators","Game workers from across the continent will discuss the historic rise of the game industry labour movement, how unions are making changes in our industry, and visions for the future! If you've  wondered how unionization could change your workplace and our whole industry, this talk is for you! A Q&A session and mixer with snacks will follow!","Game workers will discuss the historic rise of the game industry labour movement, how unions are making positive changes in our industry, and visions for the future!

Over the last few years, thousands of game workers across Canada and the US have won certified unions and bargained first contracts at major game studios like Bethesda, Blizzard, SEGA, Paizo, and more. 

Last year, the industry also saw the launch of United Videogame Workers (CWA Local 9433), a direct-to-join union established with CWA open to any game worker in North America.

If you've ever wondered about the specifics of how unionization could change or benefit your workplace and our whole industry, this talk is for you!

A moderated audience Q&A session and mixer will follow! Snacks provided!

---

The event will be a panel and mixer for games workers interested in unionization. The panel will consist of 3 or 4 workers involved in organizing efforts in the industry, and will be moderated by a CWA organizer. 

The panel will cover how panelists first got involved in organizing, what motivated them to start campaigns in their workplaces, and the shifts they’ve seen over the course of organizing. We’ll discuss the changes that panelists hope to see won through organizing, as well as how to overcome fears that workers can have about joining a union. We will also cover topics like the difference between traditional organizing campaigns, and a direct-join model exemplified by UVW.

Following the panel we plan to open up the conversation for audience Q&A, and let attendees ask questions about organizing based on their own experience. 

Before and after the panel we plan to open the space up for a mixer, to let attendees socialize and also have the opportunity to speak directly with organizers present as well as panelists. We plan to provide food during the mixer. In addition to panelists and our moderator, we’ll have other volunteers available to talk with attendees, as well as free zines and merch to take.","Meet and hear the games workers who are organizing unions in their studios across Canada and the US in this panel discussion and mixer!","Free!","Registration required.","https://actionnetwork.org/events/ask-and-ye-shall-receive-how-game-worker-union-campaigns-are-chaning-the-industry?source=direct_link&","Talk","Social","319 Augusta Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-24 17:55:59","Vector Festival Gamemaking Residency: Open Studios","2026-06-13","Saturday June 13","InterAccess","32 Lisgar St.","13:00:00","15:30:00","","Academics, Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Join our Gamemakers-in-Residence for a peek into their in-progress, experimental video games, created as part of ""Where are your guts?"", the Vector Festival Gamemaking Residency, curated by Bracy Appeikumoh. Games are focused on cyborg-forward game mechanics, symbiotic systems, and reconciliations between bodies and bots.  Also: Do you want to be a cog in your own machine? Join artist Tristan Sauer for a mixed-media generative performance exploring how digital layers of LLMs, digital avatars, and digital communication devices abstract, co-opt, and reinterpret human communication. ","","Check out some experimental video games about cyborgs!","Free!","Registration requested","https://www.interaccess.org/vector-festival/vf26/vf26-gamemaking-residency-application","Showcase","","32 Lisgar St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Intro to the Torontrons Workshop","2026-06-13","Saturday June 13","U of T Bahen Centre","40 St. George St.","14:00:00","16:00:00","","","Step inside the Torontrons, Hand Eye Society’s custom arcade cabinets, and learn how to get your game arcade-ready. This hands-on workshop introduces game developers to the Torontrons and shows them how to prepare their games for arcade-style exhibition.  Part of the <a href=""https://dmgregory.ca/tgw/"">“Play Outside the Box”</a> event series.","","A fun, public celebration of local indie games where you can interact with Hand Eye Society's custom arcade cabinets, meet devs and artists, and take part in an immersive workshop and exhibition.","Free!","FULL. Waitlist here","https://www.eventbrite.ca/e/intro-to-the-torontrons-tickets-1987078720945?aff=ebdsoporgprofile","Workshop","","40 St George St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-20 11:58:57","Kitten Cup Studio Tea Party: BYOD Bring Your Own Demo","2026-06-13","Saturday June 13","Allan Gardens Children's Conservatory","160 Gerrard St. E.","15:00:00","21:00:00","","Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Play games, drink tea, and meet local devs at the beautiful botanical Allan Gardens Conservatory! Making a game or curious to check out works-in-progress? This year, the Kitten Cup Tea Party invites you to Bring Your Own Demo! Plus, we'll have lots of exclusive goodies and giveaways, so mark your calendars and pack your favourite picnic blanket!","Kitten Cup’s annual Tea Party in the park is a casual, free meetup in the park hosted by Kitten Cup Studio. Previously, we provided free tea, picnic blankets, and a playable demo of our current project. This year, we’ve decided to partner with other local indie devs to promote and showcase their demos, as well as encourage attendees to bring their own demos and projects for playtesting. We’d like to host the event at Allan Gardens in their Children’s Conservatory & Teaching Garden, which is open to event bookings. We’d like encourage gamedevs, students, and anyone who has a handheld playable game to bring their demo to share at the tea party. We’d also like to have a poster for optional purchase of Allan Gardens x Toronto Games Week for sale, and some sort of ‘indie dev passport’ that can be brought to different events for a stamp. We’re also considering sharing the space with the Indie Games Emporium, and promoting the two events in the same space. While we would like to host it on the Saturday, this is contingent on Allan Garden’s availability for the Saturday (they usually have a farmer’s market in the summer), and general feasibility. Otherwise, Sunday should be good as well. ","Discover new demos at Kitten Cup’s playtest tea party in the park!","Free, just show up!","","","Social","Showcase","160 Gerrard St E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-03-30 13:42:07","Indie Game Emporium","2026-06-13","Saturday June 13","Allan Gardens Children's Conservatory","160 Gerrard St. E.","16:00:00","21:00:00","","Community, Game Enthusiasts, Game Curious, Game Creators","Meet indies making eclectic games in your city! Peruse their games, zines, cyberware and DIY merch without the alienation of screens and algorithms. Happening right next door to the Kitten Cup Tea Party!","Indie Game Emporium returns, this time at Allan Gardens Childrens Conservatory. This event will happen in the same space and at the same time as the KittenCup tea party. With the tea party happening outside while the emporium happens indoors, with no hard separation between them. In the event of rain the tea party will move indoors and share the space with the market. There will be 10 full size tables and hopefully 10 or more vendors!","An in-person indie game market where you can find games and chat with the people who make them! Indie games, zines, and DIY merch all with a cozy tea party right next door!","Free, just show up!","","","Showcase","","160 Gerrard St E","","","","","","","","","","","","","","","","","","","","","","","",""
